"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.404209353198,24.4467088280805,118.418659008436,24.4962480517415,5705.70702826691,"days",118.404361,24.4469647,118.4190075,24.4961375,"7:02am","9:32am",12.6,149.3,54.9,34.4,60,0.0261667834083219
118.417187859253,24.4873598868827,118.346718686967,24.4475156476675,8405.62205771209,"days",118.4165614,24.4877163,118.347206,24.4475439,"7:13am","8:23am",11.1,70.2,53,17.1,0.100000000000001,0.00835155322449836
118.401897249071,24.5091280666445,118.40451113777,24.4401289371558,7685.51214953766,"days",118.4019405,24.5089898,118.4047815,24.4401264,"9:22am","10:45am",10.4,82.8,31.1,51.7,0,0.0107735175469056
118.225930381751,24.4161361898817,118.385803207422,24.4599637448437,16921.1336158148,"days",118.286415,24.415166,118.3857161,24.4598523,"7:02am","10:26am",14.7,234.1,67.2,21.9,145,0.0138347704896796
118.418940370095,24.4975093265275,118.312680068078,24.4852840011661,10850.2115793571,"days",118.4187431,24.4972435,118.3130084,24.4855639,"7:05am","10:13am",24.6,187.3,117,24.8,45.5,0.0172623361885721
118.301641200993,24.3974431516653,118.327677376627,24.4194445227533,3600.60199109589,"days",118.3014973,24.3975015,118.3280996,24.4187408,"","",4.5,56,0,56,0,0.0155529547943608
118.322859523509,24.4307748030405,118.34457349323,24.4291405031418,2208.27816479302,"days",118.322253,24.4307799,118.3448875,24.4288005,"","",3.3,42.4,0,42.3,0.100000000000001,0.019200479666009
118.322529664754,24.4147236887271,118.373110618416,24.4380967173508,5749.12475387006,"days",118.3224846,24.4151275,118.3730449,24.4381773,"","",6.8,84.8,0,84.8,0,0.0147500712944029
118.321381342844,24.3928865574974,118.298725358438,24.4141799220834,3300.54483756478,"days",118.3203411,24.3923277,118.2987236,24.4135896,"","",3.7,46.2,0,46.2,0,0.0139976889494667
118.422550448481,24.4421164705217,118.327051805197,24.4180514811107,10042.927686632,"days",118.4221255,24.4423696,118.3271555,24.4180916,"7:03am","9:17am",14.6,134.2,68.1,16.1,50,0.0133626372893864
118.410094748099,24.4687676448066,118.329553451931,24.4445525250964,8595.00198312628,"days",118.4102253,24.4685784,118.3293848,24.4439955,"7:19am","11:00am",18.4,221.6,90.4,21.2,110,0.0257824256975211
118.316308864989,24.4352412199418,118.412949931338,24.4597488899702,10166.3755701705,"days",118.3163089,24.4352412,118.4129918,24.4584808,"7:33am","10:30am",19.2,176.8,76.1,40.6,60.1,0.0173906618715478
118.312551062403,24.4634170076834,118.430939164653,24.4365360824274,12364.6141700267,"days",118.3130213,24.4650229,118.4309614,24.4365043,"7:39am","11:25am",16.3,226,76.9,21.4,127.7,0.0182779662100457
118.365047681712,24.4488298672744,118.429777321806,24.4765090205904,7246.52873571004,"days",118.3647574,24.449147,118.4300889,24.4766243,"7:10am","9:49am",11.6,158.2,59.6,8.6,90,0.0218311422985752
118.444789450487,24.4920915511238,118.441481443887,24.4309849128541,6810.61326598635,"days",118.4447585,24.4920999,118.441536,24.4310068,"7:03am","10:19am",12.8,196.7,59.6,27,110.1,0.0288813932487345
118.318241829144,24.4346791392988,118.233385556273,24.4457686202636,8687.87075148798,"days",118.3182371,24.4346749,118.2864996,24.4150958,"7:03am","8:37am",6,124.3,29.8,4.5,90,0.0143073030844423
118.313070264155,24.4357928742839,118.419959603459,24.5216433602409,14443.254814752,"days",118.3130272,24.4357697,118.4201443,24.5216126,"7:03am","1:45pm",31.8,402.7,156.8,15.9,230,0.0278815270633245
118.334999574109,24.469474754508,118.340409652706,24.4400850668696,3317.2586568755,"days",118.3354292,24.4703968,118.3405242,24.4396894,"","",4.6,58.1,0,58.1,0,0.0175144617919918
118.224983302075,24.4252384007706,118.332114132783,24.4715254427166,12017.1405615804,"days",118.286415,24.415166,118.3322547,24.4715798,"7:03am","10:48am",12.1,255,56.1,18.9,180,0.0212196902160945
118.316511733888,24.4240457458581,118.362965843854,24.455038155375,5836.71035439059,"days",118.3167634,24.4243754,118.3631254,24.4543366,"7:03am","8:41am",8.1,97.9,30.2,27.6,40.1,0.0167731468679709
118.39975693763,24.4920022229608,118.39086731074,24.4391312247399,5954.09827521988,"days",118.3998297,24.4923176,118.3908899,24.4391112,"7:23am","9:05am",9.7,102.1,48.6,12.6,40.9,0.0171478526689635
118.435035769451,24.4496555345718,118.444066093933,24.4136818747184,4107.82593739085,"days",118.4354077,24.4501968,118.4416229,24.4141283,"7:16am","10:05am",9.8,169,48.8,5.2,115,0.0411409837163994
